P;o;l;a;r;i;s;e;d; ;m;o;d;u;l;a;r; ;c;o;n;g;l;o;m;e;r;a;t;i;o;n
C;r;o;s;s;-;g;r;o;u;p; ;c;o;n;t;e;x;t;u;a;l;l;y;-;b;a;s;e;d; ;m;i;d;d;l;e;w;a;r;e
D;e;-;e;n;g;i;n;e;e;r;e;d; ;e;n;c;o;m;p;a;s;s;i;n;g; ;s;t;r;u;c;t;u;r;e
F;u;l;l;y;-;c;o;n;f;i;g;u;r;a;b;l;e; ;m;u;l;t;i;-;t;a;s;k;i;n;g; ;i;n;t;e;r;f;a;c;e
V;e;r;s;a;t;i;l;e; ;e;c;o;-;c;e;n;t;r;i;c; ;c;o;r;e
O;p;t;i;o;n;a;l; ;m;a;x;i;m;i;z;e;d; ;u;t;i;l;i;s;a;t;i;o;n
O;p;e;n;-;a;r;c;h;i;t;e;c;t;e;d; ;s;e;c;o;n;d;a;r;y; ;p;r;o;d;u;c;t
R;e;a;l;i;g;n;e;d; ;z;e;r;o;t;o;l;e;r;a;n;c;e; ;f;u;n;c;t;i;o;n
Q;u;a;l;i;t;y;-;f;o;c;u;s;e;d; ;u;s;e;r;-;f;a;c;i;n;g; ;h;e;l;p;-;d;e;s;k
P;r;o;a;c;t;i;v;e; ;u;s;e;r;-;f;a;c;i;n;g; ;o;p;e;n;s;y;s;t;e;m
D;e;c;e;n;t;r;a;l;i;z;e;d; ;h;o;l;i;s;t;i;c; ;m;o;d;e;r;a;t;o;r
M;a;n;d;a;t;o;r;y; ;t;a;n;g;i;b;l;e; ;a;p;p;l;i;c;a;t;i;o;n
D;i;g;i;t;i;z;e;d; ;d;e;d;i;c;a;t;e;d; ;b;u;d;g;e;t;a;r;y;m;a;n;a;g;e;m;e;n;t
O;r;g;a;n;i;z;e;d; ;w;e;l;l;-;m;o;d;u;l;a;t;e;d; ;c;o;n;c;e;p;t
B;a;l;a;n;c;e;d; ;o;p;t;i;m;a;l; ;o;p;e;n;a;r;c;h;i;t;e;c;t;u;r;e
U;n;i;v;e;r;s;a;l; ;e;x;p;l;i;c;i;t; ;t;h;r;o;u;g;h;p;u;t
P;o;l;a;r;i;s;e;d; ;m;o;b;i;l;e; ;a;l;g;o;r;i;t;h;m
M;a;n;d;a;t;o;r;y; ;h;o;m;o;g;e;n;e;o;u;s; ;i;n;f;r;a;s;t;r;u;c;t;u;r;e
B;u;s;i;n;e;s;s;-;f;o;c;u;s;e;d; ;i;n;t;e;r;a;c;t;i;v;e; ;i;m;p;l;e;m;e;n;t;a;t;i;o;n
P;o;l;a;r;i;s;e;d; ;e;x;u;d;i;n;g; ;a;r;c;h;i;v;e
E;x;t;e;n;d;e;d; ;h;o;m;o;g;e;n;e;o;u;s; ;f;i;r;m;w;a;r;e
S;e;c;u;r;e;d; ;t;r;a;n;s;i;t;i;o;n;a;l; ;c;a;p;a;b;i;l;i;t;y
E;x;p;a;n;d;e;d; ;c;l;e;a;r;-;t;h;i;n;k;i;n;g; ;f;o;r;e;c;a;s;t
G;r;a;s;s;-;r;o;o;t;s; ;a;s;s;y;m;e;t;r;i;c; ;i;n;t;e;r;f;a;c;e
I;n;v;e;r;s;e; ;s;t;a;t;i;c; ;s;e;r;v;i;c;e;-;d;e;s;k
O;p;t;i;o;n;a;l; ;o;b;j;e;c;t;-;o;r;i;e;n;t;e;d; ;t;o;o;l;s;e;t
O;p;t;i;o;n;a;l; ;s;t;a;b;l;e; ;s;e;r;v;i;c;e;-;d;e;s;k
V;i;r;t;u;a;l; ;b;a;c;k;g;r;o;u;n;d; ;s;y;s;t;e;m;e;n;g;i;n;e
B;a;l;a;n;c;e;d; ;h;u;m;a;n;-;r;e;s;o;u;r;c;e; ;e;x;t;r;a;n;e;t
E;x;p;a;n;d;e;d; ;b;i;-;d;i;r;e;c;t;i;o;n;a;l; ;e;n;c;r;y;p;t;i;o;n
S;h;a;r;a;b;l;e; ;c;l;i;e;n;t;-;d;r;i;v;e;n; ;g;r;o;u;p;w;a;r;e
M;o;n;i;t;o;r;e;d; ;e;v;e;n;-;k;e;e;l;e;d; ;i;n;i;t;i;a;t;i;v;e
I;n;v;e;r;s;e; ;m;a;x;i;m;i;z;e;d; ;b;e;n;c;h;m;a;r;k
F;r;o;n;t;-;l;i;n;e; ;f;u;l;l;-;r;a;n;g;e; ;h;e;l;p;-;d;e;s;k
I;n;t;e;g;r;a;t;e;d; ;i;m;p;a;c;t;f;u;l; ;m;a;t;r;i;c;e;s
C;r;o;s;s;-;p;l;a;t;f;o;r;m; ;c;o;m;p;o;s;i;t;e; ;d;a;t;a;-;w;a;r;e;h;o;u;s;e
G;r;a;s;s;-;r;o;o;t;s; ;s;y;s;t;e;m;i;c; ;s;u;p;p;o;r;t
S;e;c;u;r;e;d; ;3;r;d;g;e;n;e;r;a;t;i;o;n; ;i;n;t;r;a;n;e;t
P;e;r;s;i;s;t;e;n;t; ;c;o;m;p;o;s;i;t;e; ;f;i;r;m;w;a;r;e
U;p;g;r;a;d;a;b;l;e; ;m;u;l;t;i;m;e;d;i;a; ;b;e;n;c;h;m;a;r;k
O;r;g;a;n;i;z;e;d; ;f;r;e;s;h;-;t;h;i;n;k;i;n;g; ;u;t;i;l;i;s;a;t;i;o;n
